,model,semantic_error_count,predicted_text,ground_truth
136214,gemini-portkey_results,10,"'r' ambiguity. The letter after the first 'a' goes down to the baseline and comes up with a sharp turn, which is characteristic of a 'v'. If it were an","Bavaria , asked me if I would do something for two wards"
138742,gemini-portkey_results,10,"` - looks like an `a` but in fast cursive `ot` connections often look like `at`.
`t` - clearly a t.
`h` - clearly an",She plays the possessive mother of a man whose hobby revolves
137903,gemini-portkey_results,9,"' 'e'. The thing before 'e' is weird. It looks like 'r'. ""attractre""? No. Maybe it's not English? No, the rest is.","attractive - interest ! Tiredness has , therefore , as much to do"
134832,gemini-portkey_results,8,"looks like a 'j' or 'y' but fits 'g' in context. The 't' is crossed. 'l' is tall. 'y' descends. Okay.
    *","the river . The film starts off brightly enough but ,"
138601,gemini-portkey_results,8,""" part of ""myself."" - very distinct dot. After ""laughed"" - there is a dot, and it seems to have a tiny smudge or tail. Let's go with comma.","I 'd marry you myself . "" Gay laughed , Doc was"
137097,gemini-portkey_results,8,""" (part of 'g'?)
        - Crop 8: ""for""
        - Crop 9: ""advice.""
        - Crop 10: ""In""","at Ko""then , near Leipzig , asking for advice . In doing so he"
135074,gemini-portkey_results,8,""", ""i"", ""c"", ""c"", ""u"", ""p"". The ""h"" is clear. ""i"" has a dot. ""c"", ""c"". """,clear hiccup and falls flat on its back . This
137220,gemini-portkey_results,8,") - b (loop up) - l (loop up) - e (loop). Let's count the downward strokes after the 'i': 1, 2,","incredibly ancient car , surrounded by innumerable friends and relatives ."
140709,gemini-portkey_results,8,"' in the prompt. I shouldn't rely on the prompt's artifacts. Let's look at the image again. The word is ""Sir"". The 'S'",""" Good luck , Air Marshal , "" she said gently . "" I 'll"
131951,gemini-portkey_results,8,") `m` (3 humps) `i` (short) `t` (tall, crossed) `a` (round, closed) `t` (tall, crossed) `e","a "" limited state of emergency "" was declared , giving"
133574,gemini-portkey_results,8,"""if"" - Clear.
    *   ""their"" - Look at the first letter. It's a tall vertical line crossed horizontally. It's a lowercase 't",that freedom last if their policies were adopted ?
136113,gemini-portkey_results,7,"stroke up and down).
        *   `n`: two humps.
        *   `c`: simple curve.
        *   `u`: two points up.
        *",the incumbent of the highest church in the
109653,chatgpt-gpt4o_results,7,I don't know if. He's a Soul as easy to pass as excited,I doubt it . He 's about as easy to push around
133792,gemini-portkey_results,7,"(cursive 'n')
        *   `g` (cursive 'g')
        *   `e` (cursive 'e')
        *   `l` (cursive 'l","Angel . "" I don't know why I was so"
131716,gemini-portkey_results,7,"'.
        *   Fourth letter: 'k' or 'h'?
        *   Let's compare ""background"" vs ""husband"".
        *   If it's """,""" My background is a doctor of 68 , who"
133548,gemini-portkey_results,7,"- lowercase.
        *   ""s"" - lowercase.
        *   ""i"" - lowercase.
        *   ""t"" - lowercase.
        *   """,If the Government now reverses its plan to give the
138595,gemini-portkey_results,7,"gently` - lowercase g.
    *   `mocked` - lowercase m.
    *   `her,` - lowercase h. Comma.
    *   `","like Alice in Wonderland , "" Doc gently mocked her , "" and"
137801,gemini-portkey_results,7,"-[r/n]-i-a-l. Actually, e-d-i-t-i-o-n-a-l. The dot is over the second 'i'",is a matter of editorial decision rather
